path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE205057A01t020/N5/egn05w.6974E+01,bad,nstxuE205057A01t020,5,egn05w.6974E+01,2.640903325413035,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.056666666666666664,0.9999876022338867,flagged_borderline_or_disagreement,3.6774826225007677,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,bd1bf556861cc7e00e6589e93e1b1869f742f09ca6c48f5d459d1a383159c33e,nstxuE205057A01t020/N5/egn05w.6974E+01
nstxuE205057A01t020/N5/egn05w.8057E+01,bad,nstxuE205057A01t020,5,egn05w.8057E+01,2.838520440931423,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.043333333333333335,1.0,flagged_borderline_or_disagreement,11.161432063471457,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,625d30d6147380b8015b0ac09fbbe9280dd285be1553a4bdc75b90d7d0fb0cb9,nstxuE205057A01t020/N5/egn05w.8057E+01
nstxuE205057A01t020/N5/egn05w.1371E+02,bad,nstxuE205057A01t020,5,egn05w.1371E+02,3.7029469893923674,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.013333333333333334,0.9999649524688721,flagged_borderline_or_disagreement,1.6844721664265063,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,e42d5f653e1362bdaed707c9d8dbfb243f7cd7239fdf4512cb80db48b01aca0a,nstxuE205057A01t020/N5/egn05w.1371E+02
nstxuE205057A01t020/N5/egn05w.1673E+02,bad,nstxuE205057A01t020,5,egn05w.1673E+02,4.089963470794602,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.08333333333333333,0.9998162388801575,flagged_borderline_or_disagreement,17.849489728549248,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,886a486da70feab3e371391d66795bad1b272586561eca2c649a22d547279dce,nstxuE205057A01t020/N5/egn05w.1673E+02
nstxuE205057A01t020/N5/egn05w.2043E+02,bad,nstxuE205057A01t020,5,egn05w.2043E+02,4.51980234979916,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.013333333333333334,0.585559070110321,flagged_borderline_or_disagreement,17.05513227825443,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,dfa658d1e46e16d06cf5033e2d31d5962cae45b2a6b98535542f404abb5c4755,nstxuE205057A01t020/N5/egn05w.2043E+02
nstxuE205057A01t020/N6/egn06w.6264E+01,bad,nstxuE205057A01t020,6,egn06w.6264E+01,2.5028378732588887,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.02,0.9655409455299377,flagged_borderline_or_disagreement,6.9376976973418,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,db4aee790e9715b3dabcb71e29d428d566ae15a1f949659887c9e90e6d46899f,nstxuE205057A01t020/N6/egn06w.6264E+01
nstxuE205057A01t020/N6/egn06w.6778E+01,bad,nstxuE205057A01t020,6,egn06w.6778E+01,2.6035488850557416,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.05,0.997261643409729,flagged_borderline_or_disagreement,3.8943864358770064,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,281f057802d00816de57e18e1fe5b9ed6c103f32af00ce37e86fed971aeb2037,nstxuE205057A01t020/N6/egn06w.6778E+01
nstxuE205057A01t020/N6/egn06w.1099E+02,bad,nstxuE205057A01t020,6,egn06w.1099E+02,3.315185961060777,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.013333333333333334,0.9998812675476074,flagged_borderline_or_disagreement,4.057178485335704,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,d0341b113a2352883261b4c56950ab10026e3e948bf30660877a2fc4c1f72d52,nstxuE205057A01t020/N6/egn06w.1099E+02
nstxuE205057A01t020/N6/egn06w.1576E+02,good,nstxuE205057A01t020,6,egn06w.1576E+02,3.970039031236276,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.5766666666666667,5.385880740504945e-06,flagged_rf_only_good,0.665645595559794,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,37b385b953cb0dc6c16afb3fa2a6047a0dee31502a89ad05805e2669561961b2,nstxuE205057A01t020/N6/egn06w.1576E+02
nstxuE205057A01t020/N6/egn06w.2060E+02,bad,nstxuE205057A01t020,6,egn06w.2060E+02,4.538900641986886,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.0,0.9999998807907104,flagged_borderline_or_disagreement,14.71343362529025,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,cf96f824b2b7ed349ec379e46af593c671a64d119554055edf7986ba91f1a1db,nstxuE205057A01t020/N6/egn06w.2060E+02
