shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuE205034A01t017,2,7,4,0,0,0,4,27,0.3821424215708191,0.5024140058274729,0.07407407407407407,0.8888888888888888,0.8810644673025216,,2,22,0,0,7,43,0.046511627906976744,3,0
nstxuE205034A01t020,2,8,8,0,0,0,4,4,0.7883327130292328,0.7883327130292328,0.0,1.0,0.9679231476345879,,0,44,0,0,10,11,0.09090909090909091,0,0
nstxuE205034A01t021,2,11,6,0,0,0,6,8,0.5483588575338039,0.5483588575338039,0.0,1.0,0.8598768858776418,,0,47,0,0,12,15,0.0,5,0
nstxuE205034A01t023,2,8,6,0,0,0,6,7,0.7205974714798336,0.7205974714798336,0.0,1.0,0.9710471187084213,,0,35,0,0,9,10,0.0,2,0
nstxuE205035A01t017,2,4,4,0,0,0,4,6,0.2109133601752633,0.2109133601752633,0.0,1.0,0.5811696725506077,,0,13,0,0,4,6,0.0,0,0
nstxuE205035A01t025,2,0,0,0,0,0,0,0,,,,,,,0,5,0,0,0,0,,0,0
nstxuE205035A01t030,2,7,7,0,0,0,7,7,0.34915717482190134,0.34915717482190134,0.0,0.8571428571428571,0.521090310423935,,0,21,0,0,9,10,0.0,0,0
nstxuE205040A01t018,2,7,7,0,0,0,7,9,0.7873446106428705,0.7873446106428705,0.2222222222222222,1.0,9.979741701887349,,2,15,0,0,15,17,0.11764705882352941,0,0
nstxuE205040A01t020,2,5,5,0,0,0,5,5,0.7171154245420225,0.7171154245420225,0.0,1.0,0.9020179382457005,,0,21,0,0,21,21,0.0,0,0
nstxuE205040A01t022,2,3,1,0,0,0,1,1,0.7429757973749007,0.7429757973749007,0.0,1.0,0.7429757973749007,,0,15,0,0,13,13,0.0,2,0
nstxuE205042A01t017,2,6,6,0,0,0,6,6,0.6063923671159488,0.6063923671159488,0.0,1.0,0.8935843428222512,,0,17,0,0,17,21,0.09523809523809523,0,0
nstxuE205042A01t020,2,10,7,0,0,0,7,7,0.7272579240966137,0.7272579240966137,0.0,1.0,0.9196893646364623,,0,30,0,0,27,27,0.0,3,0
nstxuE205042A01t022,2,3,3,0,0,0,3,3,0.5753961169380262,0.5753961169380262,0.0,1.0,0.9132638568405282,,0,6,0,0,5,5,0.0,0,0
nstxuE205042A01t025,2,12,4,0,0,0,4,6,0.2532423850679977,0.2532423850679977,0.0,1.0,0.377799810756807,,0,19,0,0,7,9,0.0,8,0
nstxuE205045A01t017,2,24,8,0,0,0,8,19,0.37873697578730825,0.4210800926332747,0.0,0.8947368421052632,1.2183038868610685,,0,45,0,0,27,52,0.07692307692307693,16,0
nstxuE205045A01t027,2,15,8,0,0,0,8,8,0.43682099727027635,0.43682099727027635,0.0,1.0,0.8857065094308514,,0,38,0,0,31,31,0.0,7,0
nstxuE205045A01t035,2,15,8,0,0,0,8,8,0.43682099727027635,0.43682099727027635,0.0,1.0,0.8857065094308514,,0,38,0,0,31,31,0.0,7,0
nstxuE205052A01t017,2,17,11,0,0,0,11,18,0.2920893519486767,0.2920893519486767,0.0,0.8888888888888888,0.9441209999114847,,0,70,0,0,35,89,0.02247191011235955,6,0
nstxuE205052A01t027,2,5,5,0,0,0,5,9,0.2590104491636547,0.4399028433126839,0.1111111111111111,0.8888888888888888,7.795963537338567,,1,52,0,0,20,24,0.08333333333333333,0,0
nstxuE205052A01t035,2,7,1,0,0,0,1,1,1.0273550156862599,1.0273550156862599,0.0,1.0,1.0273550156862599,,0,12,0,0,4,4,0.0,6,0
