cohort,top2_min,local_min,radial_min,eligible_modes,good_modes,bad_modes,unlabeled_modes,good_survivors,bad_survivors,unlabeled_survivors,flagged_modes,good_flagged,bad_flagged,unlabeled_flagged,good_survivors_flagged,bad_survivors_flagged,unlabeled_survivors_flagged
training,0.01,0.2,16.0,2363,575,1788,0,542,25,0,13,0,13,0,0,0,0
batch_survivors,0.01,0.25,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,2.0,2363,575,1788,0,542,25,0,129,0,129,0,0,1,0
batch_survivors,0.01,0.25,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,4.0,2363,575,1788,0,542,25,0,108,0,108,0,0,1,0
batch_survivors,0.01,0.25,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,6.0,2363,575,1788,0,542,25,0,85,0,85,0,0,1,0
batch_survivors,0.01,0.25,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,8.0,2363,575,1788,0,542,25,0,69,0,69,0,0,1,0
batch_survivors,0.01,0.25,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,10.0,2363,575,1788,0,542,25,0,45,0,45,0,0,1,0
batch_survivors,0.01,0.25,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,12.0,2363,575,1788,0,542,25,0,28,0,28,0,0,1,0
batch_survivors,0.01,0.25,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.25,14.0,2363,575,1788,0,542,25,0,19,0,19,0,0,1,0
batch_survivors,0.01,0.25,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.25,16.0,2363,575,1788,0,542,25,0,8,0,8,0,0,0,0
batch_survivors,0.01,0.3,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,2.0,2363,575,1788,0,542,25,0,101,0,101,0,0,1,0
batch_survivors,0.01,0.3,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,4.0,2363,575,1788,0,542,25,0,86,0,86,0,0,1,0
batch_survivors,0.01,0.3,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,6.0,2363,575,1788,0,542,25,0,67,0,67,0,0,1,0
batch_survivors,0.01,0.3,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,8.0,2363,575,1788,0,542,25,0,56,0,56,0,0,1,0
batch_survivors,0.01,0.3,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,10.0,2363,575,1788,0,542,25,0,37,0,37,0,0,1,0
batch_survivors,0.01,0.3,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,12.0,2363,575,1788,0,542,25,0,24,0,24,0,0,1,0
batch_survivors,0.01,0.3,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.3,14.0,2363,575,1788,0,542,25,0,15,0,15,0,0,1,0
batch_survivors,0.01,0.3,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.3,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
batch_survivors,0.01,0.35,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,2.0,2363,575,1788,0,542,25,0,81,0,81,0,0,1,0
batch_survivors,0.01,0.35,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,4.0,2363,575,1788,0,542,25,0,68,0,68,0,0,1,0
batch_survivors,0.01,0.35,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,6.0,2363,575,1788,0,542,25,0,52,0,52,0,0,1,0
batch_survivors,0.01,0.35,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,8.0,2363,575,1788,0,542,25,0,47,0,47,0,0,1,0
batch_survivors,0.01,0.35,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,10.0,2363,575,1788,0,542,25,0,33,0,33,0,0,1,0
batch_survivors,0.01,0.35,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,12.0,2363,575,1788,0,542,25,0,22,0,22,0,0,1,0
batch_survivors,0.01,0.35,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.35,14.0,2363,575,1788,0,542,25,0,13,0,13,0,0,1,0
batch_survivors,0.01,0.35,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.35,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
batch_survivors,0.01,0.4,2.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,2.0,2363,575,1788,0,542,25,0,62,0,62,0,0,1,0
batch_survivors,0.01,0.4,4.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,4.0,2363,575,1788,0,542,25,0,50,0,50,0,0,1,0
batch_survivors,0.01,0.4,6.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,6.0,2363,575,1788,0,542,25,0,39,0,39,0,0,1,0
batch_survivors,0.01,0.4,8.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,8.0,2363,575,1788,0,542,25,0,35,0,35,0,0,1,0
batch_survivors,0.01,0.4,10.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,10.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.01,0.4,12.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,12.0,2363,575,1788,0,542,25,0,17,0,17,0,0,1,0
batch_survivors,0.01,0.4,14.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,14.0,2363,575,1788,0,542,25,0,10,0,10,0,0,1,0
batch_survivors,0.01,0.4,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.4,16.0,2363,575,1788,0,542,25,0,4,0,4,0,0,0,0
batch_survivors,0.015,0.05,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,2.0,2363,575,1788,0,542,25,0,308,0,308,0,0,1,0
batch_survivors,0.015,0.05,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,4.0,2363,575,1788,0,542,25,0,264,0,264,0,0,1,0
batch_survivors,0.015,0.05,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,6.0,2363,575,1788,0,542,25,0,210,0,210,0,0,1,0
batch_survivors,0.015,0.05,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,8.0,2363,575,1788,0,542,25,0,157,0,157,0,0,1,0
batch_survivors,0.015,0.05,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,10.0,2363,575,1788,0,542,25,0,103,0,103,0,0,1,0
batch_survivors,0.015,0.05,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,12.0,2363,575,1788,0,542,25,0,68,0,68,0,0,1,0
batch_survivors,0.015,0.05,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.05,14.0,2363,575,1788,0,542,25,0,47,0,47,0,0,1,0
batch_survivors,0.015,0.05,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.05,16.0,2363,575,1788,0,542,25,0,28,0,28,0,0,0,0
batch_survivors,0.015,0.1,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,2.0,2363,575,1788,0,542,25,0,237,0,237,0,0,1,0
batch_survivors,0.015,0.1,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,4.0,2363,575,1788,0,542,25,0,202,0,202,0,0,1,0
batch_survivors,0.015,0.1,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,6.0,2363,575,1788,0,542,25,0,163,0,163,0,0,1,0
batch_survivors,0.015,0.1,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,8.0,2363,575,1788,0,542,25,0,121,0,121,0,0,1,0
batch_survivors,0.015,0.1,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,10.0,2363,575,1788,0,542,25,0,76,0,76,0,0,1,0
batch_survivors,0.015,0.1,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,12.0,2363,575,1788,0,542,25,0,49,0,49,0,0,1,0
batch_survivors,0.015,0.1,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.1,14.0,2363,575,1788,0,542,25,0,35,0,35,0,0,1,0
batch_survivors,0.015,0.1,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.1,16.0,2363,575,1788,0,542,25,0,18,0,18,0,0,0,0
batch_survivors,0.015,0.15,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,2.0,2363,575,1788,0,542,25,0,204,0,204,0,0,1,0
batch_survivors,0.015,0.15,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,4.0,2363,575,1788,0,542,25,0,173,0,173,0,0,1,0
batch_survivors,0.015,0.15,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
