path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstxuG121123B12/N1/egn01w.4164E+02,high,0.09045194093446338,0.605,-0.5145480590655366,-102.90961181310732,201
nstxuG121123B12/N1/egn01w.4164E+02,high,0.5198074777994919,0.605,-0.0851925222005081,-17.03850444010162,201
nstxuG121123B12/N1/egn01w.4181E+02,high,0.08867843080408497,0.61,-0.521321569195915,-104.264313839183,201
nstxuG121123B12/N1/egn01w.4181E+02,high,0.5243487087433254,0.61,-0.08565129125667459,-17.13025825133492,201
nstxuG142301W29/N1/egn01w.1998E+02,low,0.07855935023279795,0.71,-0.631440649767202,-126.2881299534404,201
nstxuG142301W29/N1/egn01w.1998E+02,low,0.08702505757853257,0.71,-0.6229749424214674,-124.5949884842935,201
nstxuG142301W29/N1/egn01w.1998E+02,high,0.7390851811885074,0.71,0.029085181188507447,5.8170362377014895,201
nstxuG142301W29/N1/egn01w.2010E+02,high,0.7374540692948094,0.71,0.027454069294809424,5.490813858961885,201
nstxuG142301W29/N1/egn01w.2016E+02,high,0.7366476389221687,0.71,0.026647638922168704,5.329527784433741,201
nstxuG142301W29/N1/egn01w.2024E+02,high,0.7355843405347723,0.71,0.02558434053477232,5.116868106954464,201
nstxuG142301W29/N1/egn01w.2041E+02,high,0.7334878491454012,0.705,0.028487849145401256,5.697569829080251,201
nstxuG142301W29/N1/egn01w.2064E+02,high,0.7304622900542346,0.7000000000000001,0.03046229005423451,6.092458010846902,201
nstxuG142301W29/N1/egn01w.2079E+02,high,0.7286138720554863,0.7000000000000001,0.028613872055486267,5.722774411097253,201
nstxuG142301W29/N1/egn01w.2093E+02,high,0.7267405838832839,0.6950000000000001,0.031740583883283824,6.348116776656765,201
nstxuG142301W29/N1/egn01w.2121E+02,high,0.7231441618000579,0.6900000000000001,0.03314416180005786,6.628832360011572,201
nstxuG142301W29/N1/egn01w.2158E+02,high,0.7183819458504209,0.685,0.03338194585042087,6.676389170084174,201
nstxuG142301W29/N1/egn01w.2182E+02,high,0.715151913427562,0.675,0.04015191342756197,8.030382685512393,201
nstxuG142301W29/N1/egn01w.2206E+02,high,0.7118958293196024,0.67,0.04189582931960234,8.379165863920468,201
nstxuG142301W29/N1/egn01w.2503E+02,high,0.6547896718538283,0.6,0.054789671853828326,10.957934370765665,201
nstxuG142301W29/N1/egn01w.2511E+02,high,0.6527196519203164,0.6,0.05271965192031647,10.543930384063295,201
nstxuG142301Y93/N1/egn01w.1499E+02,low,0.13217881291554406,0.16,-0.02782118708445594,-5.564237416891188,201
nstxuG142301Y93/N1/egn01w.1499E+02,low,0.3060597375703348,0.16,0.14605973757033477,29.211947514066956,201
nstxuG142301Y93/N1/egn01w.1499E+02,high,0.7422194352921428,0.745,-0.002780564707857147,-0.5561129415714294,201
