shot,n,usable,suitable,median_relative_width,edge_monotonicity,lower_max_count,upper_min_count,extrema_pairs,upper_outer_change_rel,inner_center_frequency,shape_rmse_to_K51_same_n,raw_mode_count,error
nstxuG142301C50,9,True,True,0.3658749816626256,0.41273299792309576,1,1,1,-0.5276447807830099,8.19205673151548,0.06461561789274607,80,
nstxuG142301C50,10,True,True,0.33556742391860434,0.3129832924875966,2,2,2,-0.5311525674160367,8.187043168745731,0.0753187446288307,76,
nstxuG142301D46,6,True,True,0.2615836504307115,0.4577701382717627,3,2,2,-0.4679278212283242,5.7174495430605425,0.09326253598650561,52,
nstxuG142301D46,7,True,True,0.27530515888712564,0.4219381106885432,2,1,1,-0.46736538717608966,5.700759712839,0.08978886379798348,1,
nstxuG142301D46,8,True,False,0.24673664071405826,0.3437024559067598,3,3,3,-0.466864077483019,5.710840161821953,0.09072950767189834,91,
nstxuG142301D46,9,True,True,0.2684985207593883,0.4977282991364332,3,2,2,-0.4698113879624908,5.705070691072811,0.08272518001601133,57,
nstxuG142301D46,10,True,False,0.23366088281109226,0.23042255063524983,4,3,3,-0.4697778733726415,5.702795819861285,0.09831807419197446,186,
nstxuG142301E34,6,True,True,0.4253684449117018,0.31274022077478986,3,3,3,-0.2598263582846458,4.626229741522701,0.09071036522023879,152,
nstxuG142301E34,7,True,True,0.41565220816215687,0.26480180739152537,4,4,4,-0.2619257038118961,4.63421378660606,0.08011326039240026,0,
nstxuG142301E34,8,True,True,0.41703241776547595,0.24976160336683376,4,4,4,-0.26162687891997366,4.650492990550484,0.08666169687440801,155,
nstxuG142301E34,9,True,True,0.42586361366958264,0.22498413438884657,4,4,4,-0.2638175204507693,4.615776532813079,0.08072340317985165,169,
nstxuG142301E34,10,True,True,0.4356150888124246,0.2147577778792658,5,5,5,-0.2596870167889656,4.653406979771516,0.07612756055147028,181,
nstxuG142301E55,6,True,True,0.3649663748033831,0.3980743153236762,2,1,1,-0.5789343354560782,7.485836301272236,0.06694232045694339,80,
nstxuG142301E55,7,True,True,0.383800120964676,0.18410936610796785,2,1,1,-0.5862486569191747,7.48059920645211,0.050052298593599234,53,
nstxuG142301E55,8,True,True,0.4029815143687913,0.1692655325567724,3,1,1,-0.586067334320675,7.47564109491523,0.07460468655143297,83,
nstxuG142301E55,9,True,True,0.4135852668470377,0.2426025090045827,2,2,2,-0.581313938758213,7.461455576711025,0.07278137563025773,57,
nstxuG142301E55,10,True,True,0.39441943664066637,0.24396462797143395,2,2,2,-0.5906956969974748,7.453208897550271,0.05560334215671774,183,
nstxuG142301E72,6,True,False,0.14835476233361558,0.6241633505159674,2,1,1,-0.46366191683452046,4.163364879376912,0.1582795127249595,52,
nstxuG142301E72,7,True,False,0.13950586504431184,0.6077578293002786,3,1,1,-0.4621355202654333,4.161514231919841,0.16401374682322084,88,
nstxuG142301E72,8,True,False,0.13013906804059935,0.599660667723229,3,1,1,-0.4610301000701864,4.160159451676981,0.16029483906379757,92,
nstxuG142301E72,9,True,False,0.12454571769808565,0.5733396254241439,4,3,3,-0.46316519041058346,4.159066475339154,0.1562765407603401,119,
nstxuG142301E72,10,True,False,0.12357228061134459,0.5481763078237747,3,3,3,-0.46192645479817057,4.15815792764615,0.1619144828882247,98,
nstxuG142301E77,6,True,False,0.09830382183561161,0.7365670018156192,1,0,0,-0.4638341041917253,4.058310865984671,0.17524977550487034,82,
nstxuG142301E77,7,True,False,0.11107974764359407,0.722371732267377,3,1,1,-0.4640645043493042,4.061325651579361,0.17640165563513527,127,
