shot,n,nr,input_modes,datcon_sha256,changed_last,onset,changed_mean
nstxuE205057A01t020,3,201,21,ddca44472e83278f18f34dba9a9150a1ee71945f51b4b796371fd2fd8c4101e0,False,,False
nstxuE205057A01t020,4,201,79,a332c4b3298309fca5480849737527e5c119a2e48ed159ab93486126c8f9d559,False,,False
nstxuE205057A01t020,5,201,80,d6c1e889348f03b173487e2a3d492157e9431a53bb1892b278c1f2e9c3e2d613,False,,False
nstxuE205057A01t020,6,201,117,965500e4675b0be8e0f15f48da5f7e33b7caebc77e6f62b24c961d7625b7b7ad,False,,False
nstxuE205057A01t020,7,201,130,35e32f3080e7f32cace31458069df903bb2784ce87eb52a896c36e7e82129f4f,False,,False
nstxuE205057A01t020,8,201,114,3a6e9314cbc0e4d82a3335872286a5c64bcea75b2652a2427a2a8ee4be83520f,False,,False
nstxuE205057A01t020,9,201,145,a2aadbbe67b5e7d572cdba20555c6129ac6309a34d9f737e6813cb600efc892c,True,0.985,True
nstxuE205057A01t020,10,201,178,296eb1a37b82f09b7a0cc68b9f3434b79fc5c936b14bdb757bca8544287fa383,True,0.975,True
nstxuG121123K34,1,201,109,33a86229f4962f23e396c07b9bef8c0e6bee46974dc38690e2d638935dbffbd5,False,,False
nstxuG121123K34,2,201,172,3a63829070075cf6ba1b7d31d85c53f5f97b6e053ba0a25bad6e806c00799d67,False,,False
nstxuG121123K34,3,201,138,246c07b0a34050606810137a290ac384bd9e4a72eae0d33d02b6c261a7086cbd,False,,False
nstxuG121123K34,4,201,191,ce9b639cb38d2cc81eed5259c1f5b56030726a1414eac30bedf83139e733f424,False,,False
nstxuG121123K34,5,201,78,78b7901f71b97b930efac94990ef6e3175dd8c6d9edc26f446b71b55cde2e6be,False,,False
nstxuG121123K34,6,201,79,f1d5105107309a77e0e50426accbffaf7675351789633be166bbc32836bf9dce,False,,False
nstxuG121123K34,7,201,123,3eb1ae80cb9bb2e9b0274cede810173157069468d993a0051d8b2a57d1785613,False,,False
nstxuG121123K34,8,201,108,51c0b8586be38088d1442012b117a6283fc6cae6bcda48c434387d401204fcc0,True,0.915,True
nstxuG121123K34,9,201,119,fec6422d7e45db2cfdbc0cdaecc457f3853ed1d40e8c7077d6981af3b853e440,False,,False
nstxuG121123K34,10,201,141,a37ed76cb749cc3af1804e285bb4c4c750f633acd55f5f9e98c382f689986b22,True,0.88,True
nstxuG121123K70,1,201,14,652c940aa1586d03fb1e79d79211d822f504f36298b7ae2db619cfbcbae0d084,False,,False
nstxuG121123K70,2,201,44,5328aa3b08625ca632e71c80036927c1cc22da69978653d118ce43f22af6a9db,False,,False
nstxuG121123K70,3,201,43,40d53d0969058332539bcd91bcd6e43dc45405570b61bc80e79bbe7d8fda6dcc,False,,False
nstxuG121123K70,4,201,31,a76ff3e1e58089e0ed58db42c4ae26adcb4eb411cb3074a490b26067699a4b03,False,,False
nstxuG121123K70,5,201,44,2835429dd5cd6270195842e6fb117e67e6d63b7bec8e6e6f4926ecafcd4933c5,False,,False
nstxuG121123K70,6,201,45,1195dc2886992f5ca78ff143c3c679c1ea69b3adf9f291097670da2218d840b2,False,,False
nstxuG121123K70,7,201,57,1c16c8abab0440b20e7c7b5c1e9d3f24d1be1be2e6cef808462cb84e79f046de,False,,False
nstxuG121123K70,8,201,63,4ea1d39deecc5ea2a5ed97ebaa0f7b21f240ab07d2776aed738ae4f29d73e41e,False,,False
nstxuG121123K70,9,201,63,a538334e8dd3435738cb3462212928a1c1e339eac5a889dc681ee297531a0f4d,False,,False
nstxuG121123K70,10,201,74,6fca159f1d10e8ef1106d47edfe3071630ef0b3f8a07d2c3229af8c693cd3611,False,,False
nstxuG121123N80,1,201,15,0e007cfecdf35fb36deef561da4a1dec99a16bc81ac1b1c3790a0114d6f73579,False,,False
nstxuG121123N80,2,201,5,33d98ff6e18d044c5e6b9ad2b4a8a39fc1eefe83a85c73483d1db6e0d33e212c,False,,False
nstxuG121123N80,3,201,17,2a5f3d82dae93157d274196af8ae07ca20bba49e55d39fff9f737183bf106750,False,,False
nstxuG121123N80,4,201,8,2747b1211b633c2ddbbd53b65bdd439ebeb32d869fcdb50318f8fbf54c9727d3,False,,False
nstxuG121123N80,5,201,15,abc79aa86dba9dfaf750d1f17160807296b6d0287101f1018d3f97286e98ea3e,False,,False
nstxuG121123N80,6,201,27,33460cf84e81d9f7c81c69e1a22b09200d764aba6b7b06fc459d5df49fc080dc,False,,False
nstxuG121123N80,7,201,28,a9801a2c3447981e3d29ffa3757ce8d2e5d11e8af9139393b964fbb37dc7fe1a,False,,False
nstxuG121123N80,8,201,22,05ff19ada38853d5bc8f0bd193aa83bf6db687a65757ab794c8e87a1d521add1,False,,False
nstxuG121123N80,9,201,27,65bd4f486378111a88ebbdcd8c98ca6f6212bf4836b74fc297e9edb4205601b5,False,,False
nstxuG121123N80,10,201,22,f8713d1f17821e0c67007aa4b2cdcb13afc31a94ce4371ecb58794158e14810c,False,,False
nstxuG133964R06,1,201,60,1ba811f9ab36b0892bc8a939587ec18a6cbb678862a8ce02da0f97f40296a1ba,False,,False
nstxuG133964R06,2,201,35,882ddbb06841e3c0523c5b63809aac1596936b916a2118ae81fa403dcce55a63,False,,False
nstxuG133964R06,3,201,50,e4f9abaf0bc4ec88cbd6990394f93fb275af7ba0f4223249280e0b0057ab75c6,False,,False
nstxuG133964R06,4,201,119,f4bb9d2826427b802f97424a9d914ac6e9f8350cfc17b34d08f690e34e27aea8,False,,False
nstxuG133964R06,5,201,84,da2f4d980b07cfa4f5a63088b1de3d148608e6c1657d647a14e252ca204ddb92,False,,False
nstxuG133964R06,6,201,54,e1a97f725ef5709c05ccb9f5f41b9f535195da67e761e9ac08210edc83242a76,False,,False
nstxuG133964R06,7,201,25,162d2a4b9eeacf88737481ae9abd97bc1ece86314720662ef8845900febf7a8d,True,0.89,True
nstxuG133964R06,8,201,52,f05910df54eed86ed1099195992ce795ae0da5c7695b436005e8103828ecc7ae,True,0.84,True
