mode_key,shot,n,scenario,input_fingerprint,onset,before_gap_region,before_decision,before_reason,before_signed_delta,before_fraction_below_upper2,after_gap_region,after_decision,after_reason,after_signed_delta,after_fraction_below_upper2
nstxuE204645A16t015/N10/egn10w.5044E+01,nstxuE204645A16t015,10,mean,6b04eedefb25feff98afa25146fda65e94054f5fd330835ab670ddad3055ad0b,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7684758637710457,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9815071707476302,1.0
nstxuE204645A16t015/N10/egn10w.5337E+01,nstxuE204645A16t015,10,last,622be4e64265561e776410ca7f7e7b69cfe4bba9e603d2d38e40aebc86b0d723,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6802597572708295,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9239234258721448,1.0
nstxuE204645A16t015/N10/egn10w.5337E+01,nstxuE204645A16t015,10,mean,622be4e64265561e776410ca7f7e7b69cfe4bba9e603d2d38e40aebc86b0d723,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6802597572708295,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.934146384270041,1.0
nstxuE204645A16t015/N10/egn10w.5642E+01,nstxuE204645A16t015,10,last,83cde675723517117573d4dd147b603bd62a97a49202410182ecf5ad07ace4ee,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5133142790139554,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8801186835877085,1.0
nstxuE204645A16t015/N10/egn10w.5642E+01,nstxuE204645A16t015,10,mean,83cde675723517117573d4dd147b603bd62a97a49202410182ecf5ad07ace4ee,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5133142790139554,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9345785716163476,1.0
nstxuE204645A16t015/N10/egn10w.6093E+01,nstxuE204645A16t015,10,last,8b70192f10f727f0b6d24c5907da5578832535358557a1e05da3f350e5e498b6,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.4514111913359087,0.9999999633123337,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8165498832178282,0.9999999633123337
nstxuE204645A16t015/N10/egn10w.6093E+01,nstxuE204645A16t015,10,mean,8b70192f10f727f0b6d24c5907da5578832535358557a1e05da3f350e5e498b6,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.4514111913359087,0.9999999633123337,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8589747095241377,0.9999999633123337
nstxuE204645A16t015/N10/egn10w.6803E+01,nstxuE204645A16t015,10,last,94a3ca1205031f670037ea912c23c3bf35b5bcdcb4ab2d405e59e1fff487220a,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.37200448579776924,0.9999995279787287,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.7880607164281306,0.9999995279787287
nstxuE204645A16t015/N10/egn10w.6803E+01,nstxuE204645A16t015,10,mean,94a3ca1205031f670037ea912c23c3bf35b5bcdcb4ab2d405e59e1fff487220a,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.37200448579776924,0.9999995279787287,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8806533264187133,0.9999995279787287
nstxuE204645A16t015/N10/egn10w.7647E+01,nstxuE204645A16t015,10,last,2d270fd7044a3319316438dd0fcc618a02d040c35a55bfe719c328655845262e,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.39567546428474076,0.999997753980738,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.7231293969673338,0.999997753980738
